i miss avg t_all t_grey t_g t_blur t_sob t_max t_thresh t_hys
219 1.17067 0 4.7172 0.006144 0.00512 0.00512 0.006144 0.006144 0.00528 0.004864
220 1.15895 0 4.8235 0.008192 0.006144 0.005248 0.00608 0.006144 0.00512 0.004096
221 1.18993 0 5.5273 0.00912 0.006144 0.005952 0.006144 0.006144 0.006144 0.005152
222 1.14908 0 5.1554 0.008192 0.006144 0.006144 0.006144 0.006176 0.006144 0.004096
223 1.22023 0 5.2185 0.008192 0.006144 0.008 0.006144 0.006144 0.006144 0.004096
224 1.15565 0 4.7673 0.00816 0.006144 0.006048 0.006144 0.006144 0.006144 0.004128
225 1.13618 0 4.7792 0.006144 0.006176 0.00512 0.006048 0.005152 0.006304 0.00416
226 1.11172 0 4.7364 0.008192 0.006144 0.006144 0.006144 0.006144 0.006144 0.004096
227 1.11315 0 4.4817 0.007392 0.00608 0.006144 0.006144 0.00512 0.00528 0.004864
228 1.11324 0 4.5378 0.006144 0.00608 0.006144 0.006144 0.005152 0.006144 0.004096
229 1.14811 0 5.2581 0.008192 0.006144 0.00608 0.006144 0.005248 0.006176 0.004928
230 1.15576 0 4.8928 0.008192 0.006144 0.006144 0.006144 0.005344 0.005344 0.004096
231 1.11502 0 4.8176 0.008192 0.006144 0.006144 0.006144 0.006144 0.005408 0.004192
232 1.17742 0 4.6851 0.007424 0.006048 0.005248 0.00608 0.005216 0.005376 0.004096
233 1.10503 0 4.8796 0.009216 0.006144 0.00592 0.00608 0.006144 0.006144 0.00512
234 1.14418 0 4.7628 0.008192 0.006176 0.006144 0.006176 0.006144 0.006144 0.005344
235 1.14263 0 5.1797 0.008192 0.006336 0.00528 0.006272 0.006144 0.006144 0.004096
236 1.16271 0 5.6678 0.012288 0.007168 0.006144 0.006144 0.006144 0.006144 0.004096
237 1.14065 0 4.7682 0.008192 0.006144 0.006144 0.006144 0.006144 0.006144 0.00432
238 1.1464 0 4.68 0.008192 0.006144 0.005312 0.006144 0.00512 0.006144 0.005088
239 1.18019 0 4.7672 0.00912 0.006144 0.006144 0.006144 0.00512 0.006144 0.00512
240 1.1489 0 4.9696 0.007168 0.006272 0.006048 0.006144 0.006144 0.006144 0.004096
